,year,round,circuitId,weather,weather2,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
167,2000,11,10,Dry Wet  Air     °C (   °F)  Track     to    °C (   to    °F),Dry/Wet  Air: 21 °C (70 °F)  Track: 21 to 25 °C (70 to 77 °F),0,0,1,1,0
168,2000,12,11,Partially cloudy  very hot  dry  Air     °C (   °F)  Track    to    °C (   to     °F),Partially cloudy  very hot  dry  Air; 32 °C (90 °F)  Track 34 to 44 °C (93 to 111 °F),1,0,1,0,1
169,2000,13,13,Wet at start  drying  Air & track temperature     °C (   °F),Wet at start  drying  Air & track temperature; 15 °C (59 °F),0,0,0,1,0
170,2000,14,14,Sunny with temperatures reaching up to    °C (   °F)  ],Sunny with temperatures reaching up to 29 °C (84 °F) 1],1,0,0,0,0
171,2000,15,19,Cloudy  drying  Air    °C (   °F)  Track    °C (   °F),Cloudy  drying  Air 12 °C (54 °F)  Track 14 °C (57 °F),0,0,0,0,1
172,2000,16,22,Dry wet,Dry/wet,0,0,1,1,0
173,2000,17,2,Overcast  Very hot  Dry,Overcast  Very hot  Dry,1,0,1,0,1
174,1999,1,1,Sunny and dry with temperatures reaching up to    °C (   °F)  ],Sunny and dry with temperatures reaching up to 19 °C (66 °F) 1],1,0,1,0,0
175,1999,2,18,Sunny  hot  dry    °C (   °F)  ],Sunny  hot  dry 25 °C (77 °F) 1],1,0,1,0,0
176,1999,3,21,Sunny  mild  dry     °C,Sunny  mild  dry  23 °C,1,0,1,0,0
177,1999,4,6,Sunny  hot  dry,Sunny  hot  dry,1,0,1,0,0
178,1999,5,4,Cloudy  hot  dry    °C (   °F)  ],Cloudy  hot  dry 22 °C (72 °F) 1],1,0,1,0,1
179,1999,6,7,Hot with temperatures approaching    °C (   °F)  wind speeds up to     kilometres per hour (    mph)  ] Track   –   °C (   –    °F),Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 5 1 kilometres per hour (3 2 mph) 1] Track 41–43 °C (106–109 °F),1,0,0,0,0
180,1999,7,8,Overcast  mild  dry at first  rain later on,Overcast  mild  dry at first  rain later on,1,0,1,1,1
181,1999,8,9,Sunny  mild  dry,Sunny  mild  dry,1,0,1,0,0
182,1999,9,23,Overcast  mild  dry,Overcast  mild  dry,1,0,1,0,1
183,1999,10,10,Partially cloudy  very hot  dry,Partially cloudy  very hot  dry,1,0,1,0,1
184,1999,11,11,Partially cloudy  hot  dry  Air     °C (   °F)  Track    °C (   °F),Partially cloudy  hot  dry  Air: 25 °C (77 °F)  Track 37 °C (99 °F),1,0,1,0,1
185,1999,12,13,Partially cloudy  mild  dry,Partially cloudy  mild  dry,1,0,1,0,1
186,1999,13,14,Hot and dry with temperatures reaching up to    °C (   °F)  ],Hot and dry with temperatures reaching up to 30 °C (86 °F) 1],1,0,1,0,0
187,1999,14,20,Wet Dry,Wet/Dry,0,0,1,1,0
188,1999,15,2,Cloudy  hot  dry,Cloudy  hot  dry,1,0,1,0,1
189,1999,16,22,Overcast  mild  dry,Overcast  mild  dry,1,0,1,0,1
190,1998,1,1,Clear with maximum temperatures reaching    degrees at the start  increasing to    degrees by the end of the race ,Clear with maximum temperatures reaching 24 degrees at the start  increasing to 30 degrees by the end of the race ,1,0,0,0,0
191,1998,2,18,Mostly cloudy     °C (   °F),Mostly cloudy  31 °C (88 °F),0,0,0,0,1
192,1998,3,25,Cloudy with variable levels of dryness  temperatures reaching up to    °C (   °F)  ],Cloudy with variable levels of dryness; temperatures reaching up to 19 °C (66 °F) 2],0,0,0,0,1
193,1998,4,21,Sunny     °C,Sunny  25 °C,1,0,0,0,0
194,1998,5,4,Sunny and warm,Sunny and warm,1,0,0,0,0
195,1998,6,6,Hot and sunny with temperatures reaching up to    °C (   °F)  ],Hot and sunny with temperatures reaching up to 22 °C (72 °F) 1],1,0,0,0,0
196,1998,7,7,Cool and overcast with air temperatures reaching up to    °C (   °F)  wind speeds up to     kilometres per hour (    mph) reported  ],Cool and overcast with air temperatures reaching up to 16 °C (61 °F); wind speeds up to 2 9 kilometres per hour (1 8 mph) reported 1],0,1,0,0,1
197,1998,8,8,Sunny  warm,Sunny  warm,1,0,0,0,0
198,1998,9,9,Rain  Wet Track,Rain  Wet Track,0,0,0,1,0
199,1998,10,23,Sunny,Sunny,1,0,0,0,0
200,1998,11,10,Cloudy but dry,Cloudy but dry,0,0,1,0,1
201,1998,12,11,Cloudy  hot  dry    °C,Cloudy  hot  dry  30°C,1,0,1,0,1
202,1998,13,13,Cold and wet with rain becoming heavier,Cold and wet with rain becoming heavier,0,1,0,1,0
203,1998,14,14,Sunny,Sunny,1,0,0,0,0
204,1998,15,20,Cloudy  cold  dry,Cloudy  cold  dry,0,1,1,0,1
205,1998,16,22,Fine,Fine,1,0,0,0,0
206,1997,1,1,Partly Cloudy  Dry,Partly Cloudy  Dry,0,0,1,0,1
207,1997,2,18,Overcast and dry with temperatures reaching up to    °C (   °F)  ],Overcast and dry with temperatures reaching up to 23 °C (73 °F) 1],0,0,1,0,1
208,1997,3,25,Partially cloudy and dry  with temperatures reaching up to    °C (   °F)  ],Partially cloudy and dry  with temperatures reaching up to 21 °C (70 °F) 1],0,0,1,0,1
209,1997,4,21,Cloudy  Dry     °C,Cloudy  Dry  17 °C,0,0,1,0,1
210,1997,5,6,Overcast  cold and rain  air temperature   C or   F,Overcast  cold and rain  air temperature 11C or 51F,0,1,0,1,1
211,1997,6,4,Clear,Clear,1,0,0,0,0
212,1997,7,7,Clear and mild with temperatures approaching      °C (     °F)  wind speeds up to     kilometres per hour (    mph)  ],Clear and mild with temperatures approaching 22 7 °C (72 9 °F); wind speeds up to 4 1 kilometres per hour (2 5 mph) 1],1,0,0,0,0
213,1997,8,8,Dry at first  rain in closing stages,Dry at first  rain in closing stages,0,0,1,1,0
214,1997,9,9,Sunny  Dry Track,Sunny  Dry Track,1,0,1,0,0
215,1997,10,10,Sunny  dry track,Sunny  dry track,1,0,1,0,0
216,1997,11,11,Sunny  Dry Track    °C,Sunny  Dry Track  27°C,1,0,1,0,0
217,1997,12,13,Wet  then drying out with temperatures reaching up to    °C (   °F)  ],Wet  then drying out with temperatures reaching up to 28 °C (82 °F) 1],0,0,0,1,0
218,1997,13,14,Dry with temperatures reaching up to    °C (   °F)  ],Dry with temperatures reaching up to 29 °C (84 °F) 1],0,0,1,0,0
219,1997,14,23,Sunny,Sunny,1,0,0,0,0
220,1997,15,20,Partially cloudy  mild and dry,Partially cloudy  mild and dry,1,0,1,0,1
221,1997,16,22,Sunny  ],Sunny 1],1,0,0,0,0
222,1997,17,26,Sunny with temperatures reaching up to    °C (   °F)  ],Sunny with temperatures reaching up to 25 °C (77 °F) 1],1,0,0,0,0
223,1996,1,1,Dry with temperatures reaching up to    °C (   °F)  ],Dry with temperatures reaching up to 23 °C (73 °F) 1],0,0,1,0,0
224,1996,2,18,Wet  then drying with temperatures reaching up to    °C (   °F)  ],Wet  then drying with temperatures reaching up to 24 °C (75 °F) 1],0,0,0,1,0
225,1996,3,25,Dry with temperatures reaching up to    °C (   °F)  ],Dry with temperatures reaching up to 21 °C (70 °F) 1],0,0,1,0,0
226,1996,4,20,Cloudy  but dry,Cloudy  but dry,0,0,1,0,1
227,1996,5,21,Sunny,Sunny,1,0,0,0,0
228,1996,6,6,Overcast  mild  wet at first  drying later  light rain at finish,Overcast  mild  wet at first  drying later  light rain at finish,1,0,0,1,1
229,1996,7,4,Rain,Rain,0,0,0,1,0
230,1996,8,7,Mostly sunny and warm with temperatures approaching    °C (   °F)  ],Mostly sunny and warm with temperatures approaching 26 °C (79 °F) 1],1,0,0,0,0
231,1996,9,8,Dry,Dry,0,0,1,0,0
232,1996,10,9,Warm and sunny with temperatures reaching up to    °C (   °F)  ],Warm and sunny with temperatures reaching up to 25 °C (77 °F) 1],1,0,0,0,0
233,1996,11,10,Sunny  dry,Sunny  dry,1,0,1,0,0
234,1996,12,11,Sunny with temperatures reaching up to    °C (   °F)  ],Sunny with temperatures reaching up to 27 °C (81 °F) 1],1,0,0,0,0
235,1996,13,13,Overcast and dry with temperatures reaching up to    °C (   °F)  ],Overcast and dry with temperatures reaching up to 17 °C (63 °F) 1],0,0,1,0,1
236,1996,14,14,Dry,Dry,0,0,1,0,0
237,1996,15,27,Mostly sunny with ambient temperatures reaching    °C during the day ,Mostly sunny with ambient temperatures reaching 25 °C during the day ,1,0,0,0,0
238,1996,16,22,Sunny  mild and dry,Sunny  mild and dry,1,0,1,0,0
239,1995,1,18,Overcast,Overcast,0,0,0,0,1
240,1995,2,25,Cloudy,Cloudy,0,0,0,0,1
241,1995,3,21,Heavy rain before the start  before brightening up,Heavy rain before the start  before brightening up,0,0,0,1,0
242,1995,4,4,Sunny,Sunny,1,0,0,0,0
243,1995,5,6,Warm  sunny,Warm  sunny,1,0,0,0,0
244,1995,6,7,Cloudy at start  sunny later with temperatures reaching up to      °C (     °F)  wind speeds up to   kilometres per hour (    mph)  ],Cloudy at start  sunny later with temperatures reaching up to 24 3 °C (75 7 °F); wind speeds up to 8 kilometres per hour (5 0 mph) 1],1,0,0,0,1
245,1995,7,8,Cloudy  light drizzle at times,Cloudy  light drizzle at times,0,0,0,0,1
246,1995,8,9,Warm  cloudy  windy,Warm  cloudy  windy,1,0,0,0,1
247,1995,9,10,Sunny    °C,Sunny  28°C,1,0,0,0,0
248,1995,10,11,Sunny,Sunny,1,0,0,0,0
249,1995,11,13,Cloudy  then heavy rain,Cloudy  then heavy rain,0,0,0,1,1
250,1995,12,14,Sunny,Sunny,1,0,0,0,0
251,1995,13,27,Sunny,Sunny,1,0,0,0,0
252,1995,14,20,Rain  later dried out  air temperature   C (  F),Rain  later dried out  air temperature 11C (51F),0,0,0,1,0
253,1995,15,28,Cloudy  dry,Cloudy  dry,0,0,1,0,1
254,1995,16,22,Rain  later dried out,Rain  later dried out,0,0,0,1,0
255,1995,17,29,Sunny  ],Sunny 2],1,0,0,0,0
256,1994,1,18,Sunny,Sunny,1,0,0,0,0
257,1994,2,28,Sunny,Sunny,1,0,0,0,0
258,1994,3,21,Sunny,Sunny,1,0,0,0,0
259,1994,4,6,Sunny,Sunny,1,0,0,0,0
260,1994,5,4,Sunny,Sunny,1,0,0,0,0
261,1994,6,7,Warm with temperatures approaching      °C (     °F)  wind speeds up to    kilometres per hour (   mph)  ],Warm with temperatures approaching 26 3 °C (79 3 °F); wind speeds up to 21 kilometres per hour (13 mph) 1],1,0,0,0,0
262,1994,7,8,Sunny,Sunny,1,0,0,0,0
263,1994,8,9,Sunny,Sunny,1,0,0,0,0
264,1994,9,10,Sunny,Sunny,1,0,0,0,0
265,1994,10,11,Sunny,Sunny,1,0,0,0,0
266,1994,11,13,Sunny,Sunny,1,0,0,0,0
267,1994,12,14,Sunny,Sunny,1,0,0,0,0
268,1994,13,27,Sunny,Sunny,1,0,0,0,0
269,1994,14,26,Sunny,Sunny,1,0,0,0,0
270,1994,15,22,Heavy rain  followed by light showers,Heavy rain  followed by light showers,0,0,0,1,0
271,1994,16,29,Sunny,Sunny,1,0,0,0,0
272,1993,1,30,Very hot and humid  with torrential thunderstorms  Air temp     °C (   °F),Very hot and humid  with torrential thunderstorms  Air temp: 33 °C (91 °F),1,0,0,1,0
273,1993,2,18,Dry first then torrential rain  later drying and staying dry for the rest of the race,Dry first then torrential rain; later drying and staying dry for the rest of the race,0,0,1,1,0
274,1993,3,31,Very cold  rain with dry spells,Very cold  rain with dry spells,0,1,1,1,0
275,1993,4,21,Wet at start  dry later,Wet at start  dry later,0,0,1,1,0
276,1993,5,4,Sunny,Sunny,1,0,0,0,0
277,1993,6,6,Partly cloudy  mild  dry,Partly cloudy  mild  dry,1,0,1,0,1
278,1993,7,7,Temperatures reaching up to    °C (   °F)  wind speeds up to      kilometres per hour (     mph)  ],Temperatures reaching up to 29 °C (84 °F); wind speeds up to 18 3 kilometres per hour (11 4 mph) 1],0,0,0,0,0
279,1993,8,8,not found,not found,0,0,0,0,0
280,1993,9,9,Dry,Dry,0,0,1,0,0
281,1993,10,10,Dry,Dry,0,0,1,0,0
282,1993,11,11,not found,not found,0,0,0,0,0
283,1993,12,13,Sunny and clear,Sunny and clear,1,0,0,0,0
284,1993,13,14,Hot and sunny,Hot and sunny,1,0,0,0,0
285,1993,14,27,Dry  sunny  windy,Dry  sunny  windy,1,0,1,0,0
286,1993,15,22,Dry wet  warm  cloudy,Dry/wet  warm  cloudy,1,0,1,1,1
287,1993,16,29,Sunny,Sunny,1,0,0,0,0
288,1992,1,30,Hot  dry and dull,Hot  dry and dull,1,0,1,0,0
