,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_samp,param_tree__criterion,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,0.0064084529876708984,0.000824451529269548,0.00438532829284668,0.0007746936413285779,,gini,"{'samp': None, 'tree__criterion': 'gini'}",0.4857142857142857,0.29411764705882354,0.42857142857142855,0.6060606060606061,0.6842105263157895,0.49973489874418664,0.1362906339200745,5,0.7083333333333334,0.4166666666666667,0.375,0.8333333333333334,0.5652173913043478,0.5797101449275363,0.17295554656618192,10,0.576271186440678,0.3448275862068966,0.39999999999999997,0.7017543859649124,0.6190476190476191,0.5283801555320211,0.13471879868847114,8
1,0.006196260452270508,0.0007480733433904366,0.004397726058959961,0.0004897067609269814,,entropy,"{'samp': None, 'tree__criterion': 'entropy'}",0.5483870967741935,0.37037037037037035,0.5,0.625,0.5909090909090909,0.5269333116107309,0.08877792343872862,3,0.7083333333333334,0.4166666666666667,0.5416666666666666,0.8333333333333334,0.5652173913043478,0.6130434782608696,0.14391220426802617,8,0.6181818181818182,0.39215686274509803,0.52,0.7142857142857143,0.5777777777777778,0.5644804345980817,0.10693568369346192,3
2,0.015393781661987304,0.0007985771906875929,0.00419774055480957,0.0004057511190354447,RandomOverSampler(),gini,"{'samp': RandomOverSampler(), 'tree__criterion': 'gini'}",0.5483870967741935,0.47619047619047616,0.5555555555555556,0.5666666666666667,0.6666666666666666,0.5626932923707118,0.06093373776846844,1,0.7083333333333334,0.4166666666666667,0.625,0.7083333333333334,0.6086956521739131,0.6134057971014493,0.10666336833274757,7,0.6181818181818182,0.4444444444444445,0.5882352941176471,0.6296296296296297,0.6363636363636365,0.5833709645474352,0.07139204799171264,1
3,0.015190505981445312,0.0009781774470649083,0.004595518112182617,0.0004931131419763306,RandomOverSampler(),entropy,"{'samp': RandomOverSampler(), 'tree__criterion': 'entropy'}",0.5666666666666667,0.4090909090909091,0.4838709677419355,0.5517241379310345,0.7222222222222222,0.5467149807305536,0.10403432924449015,2,0.7083333333333334,0.375,0.625,0.6666666666666666,0.5652173913043478,0.5880434782608696,0.11655521726867393,9,0.6296296296296297,0.3913043478260869,0.5454545454545454,0.6037735849056604,0.6341463414634146,0.5608616898558674,0.09047449670878414,4
4,0.036379241943359376,0.004126187279046736,0.00419764518737793,0.000399327317282891,SMOTE(),gini,"{'samp': SMOTE(), 'tree__criterion': 'gini'}",0.5,0.4358974358974359,0.42857142857142855,0.4473684210526316,0.5,0.46236745710429916,0.0313056583363428,8,0.5833333333333334,0.7083333333333334,0.625,0.7083333333333334,0.6086956521739131,0.6467391304347826,0.052015157017414784,5,0.5384615384615384,0.5396825396825398,0.5084745762711864,0.5483870967741936,0.5490196078431373,0.5368050718065192,0.01481201453804247,6
5,0.03957710266113281,0.0027260226281931223,0.003997898101806641,2.431401974483864e-07,SMOTE(),entropy,"{'samp': SMOTE(), 'tree__criterion': 'entropy'}",0.5,0.34615384615384615,0.47058823529411764,0.5128205128205128,0.5,0.4659125188536953,0.06146263035512095,7,0.625,0.375,0.6666666666666666,0.8333333333333334,0.6521739130434783,0.6304347826086957,0.1471255423976167,6,0.5555555555555556,0.35999999999999993,0.5517241379310345,0.6349206349206349,0.5660377358490566,0.5336476128512563,0.0919408040298887,7
6,0.04137601852416992,0.0022437697228743694,0.004000663757324219,5.371565825133873e-06,ADASYN(),gini,"{'samp': ADASYN(), 'tree__criterion': 'gini'}",0.4230769230769231,0.4411764705882353,0.5,0.5,0.5357142857142857,0.4799935358758888,0.041597078133218085,6,0.4583333333333333,0.625,0.75,0.75,0.6521739130434783,0.6471014492753623,0.10707364664334097,4,0.43999999999999995,0.5172413793103449,0.6,0.6,0.5882352941176471,0.5490953346855985,0.0626593534104786,5
7,0.044171810150146484,0.0017182909534066088,0.0041979789733886715,0.00039939888910440227,ADASYN(),entropy,"{'samp': ADASYN(), 'tree__criterion': 'entropy'}",0.5,0.41379310344827586,0.43243243243243246,0.5641025641025641,0.625,0.5070656199966544,0.07934926464046808,4,0.625,0.5,0.6666666666666666,0.9166666666666666,0.6521739130434783,0.6721014492753623,0.1357027962029172,3,0.5555555555555556,0.4528301886792453,0.5245901639344263,0.6984126984126983,0.6382978723404256,0.5739372957844703,0.08611198390600441,2
8,0.8786971569061279,0.05080935884520492,0.007595872879028321,0.0010199170687509658,ClusterCentroids(),gini,"{'samp': ClusterCentroids(), 'tree__criterion': 'gini'}",0.0873015873015873,0.05303030303030303,0.06622516556291391,0.07857142857142857,0.09813084112149532,0.07665186511754564,0.015780633546680016,10,0.9166666666666666,0.875,0.8333333333333334,0.9166666666666666,0.9130434782608695,0.8909420289855072,0.032817367751374615,2,0.15942028985507245,0.1,0.12269938650306748,0.14473684210526314,0.17721518987341772,0.14081434166736417,0.0271313514374569,10
9,0.9158756256103515,0.054717779084728115,0.00819568634033203,0.0009794134522080945,ClusterCentroids(),entropy,"{'samp': ClusterCentroids(), 'tree__criterion': 'entropy'}",0.10454545454545454,0.107981220657277,0.06716417910447761,0.08148148148148149,0.0912863070539419,0.09049172856852652,0.015029171759573341,9,0.9583333333333334,0.9583333333333334,0.75,0.9166666666666666,0.9565217391304348,0.9079710144927537,0.08057338886685085,1,0.1885245901639344,0.1940928270042194,0.12328767123287672,0.14965986394557823,0.16666666666666666,0.16444632380265506,0.025985696303711066,9
