,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__criterion,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,0.023614215850830077,0.0007438144818853286,0.007000446319580078,3.6781426955560474e-06,balanced,entropy,5,,0.2,0.1,10,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.1, 'rf__n_estimators': 10}",0.16580310880829016,0.15897435897435896,0.19195046439628483,0.1903323262839879,0.16666666666666666,0.17473917065269343,0.013659738639973149,652,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9692307692307692,1.0,0.9664219676177246,0.02017119031896972,1,0.28318584070796465,0.2719298245614035,0.3195876288659793,0.3181818181818182,0.2857142857142857,0.29571047161426967,0.019480773337468553,619
1,0.27090206146240237,0.03140408678155535,0.04057555198669434,0.0034970856191943595,balanced,gini,10,,0.2,0.2,100,"{'rf__class_weight': 'balanced', 'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.2, 'rf__n_estimators': 100}",0.16580310880829016,0.15897435897435896,0.19195046439628483,0.21328671328671328,0.16666666666666666,0.17932562097763527,0.020343710484588252,595,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.28318584070796465,0.2719298245614035,0.3195876288659793,0.34757834757834755,0.2857142857142857,0.3015841079604229,0.02795786982775165,562
2,0.21488347053527831,0.005972150919074332,0.030789947509765624,0.0008383133109029089,balanced,entropy,5,,0.2,0.2,100,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.2, 'rf__n_estimators': 100}",0.16580310880829016,0.15897435897435896,0.19135802469135801,0.21328671328671328,0.16666666666666666,0.1792071330366499,0.020271431386202236,629,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.28318584070796465,0.2719298245614035,0.31876606683804626,0.34757834757834755,0.2857142857142857,0.3014197955548363,0.02785379823137202,597
3,0.10899186134338379,0.004097823107977771,0.017174530029296874,0.00022538914719315406,balanced,entropy,5,,0.2,0.2,50,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.2, 'rf__n_estimators': 50}",0.16580310880829016,0.15897435897435896,0.19195046439628483,0.21328671328671328,0.16666666666666666,0.17932562097763527,0.020343710484588252,595,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.28318584070796465,0.2719298245614035,0.3195876288659793,0.34757834757834755,0.2857142857142857,0.3015841079604229,0.02795786982775165,562
4,0.023614263534545897,0.00036330841107762594,0.007403898239135742,0.0004915152309570389,balanced,entropy,5,,0.2,0.2,10,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.2, 'rf__n_estimators': 10}",0.16580310880829016,0.15897435897435896,0.19195046439628483,0.19805194805194806,0.16666666666666666,0.17628160616891458,0.015627515646727604,651,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.28318584070796465,0.2719298245614035,0.3195876288659793,0.32707774798927614,0.2857142857142857,0.2974879418708804,0.02172642815213673,617
5,0.21294126510620118,0.002272587414729201,0.030291032791137696,0.0004121726555143861,balanced,entropy,5,,0.2,0.1,100,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.1, 'rf__n_estimators': 100}",0.16580310880829016,0.15897435897435896,0.19195046439628483,0.21328671328671328,0.16666666666666666,0.17932562097763527,0.020343710484588252,595,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.28318584070796465,0.2719298245614035,0.3195876288659793,0.34757834757834755,0.2857142857142857,0.3015841079604229,0.02795786982775165,562
6,0.10786375999450684,0.0014694747312885895,0.017905473709106445,0.0009987408404956034,balanced,entropy,5,,0.2,0.1,50,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.1, 'rf__n_estimators': 50}",0.16580310880829016,0.15897435897435896,0.1786743515850144,0.21328671328671328,0.16666666666666666,0.17667039841538118,0.019365532409952275,641,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.28318584070796465,0.2719298245614035,0.3009708737864078,0.34757834757834755,0.2857142857142857,0.29786075694450864,0.026514694053465352,607
7,0.024493932723999023,0.0006331691860620096,0.008596420288085938,0.0022404396267916857,balanced,entropy,10,,0.2,0.01,10,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.01, 'rf__n_estimators': 10}",0.1725067385444744,0.15897435897435896,0.19558359621451105,0.21328671328671328,0.16666666666666666,0.18139426617756965,0.020081726671182198,585,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.2929061784897025,0.2719298245614035,0.32460732984293195,0.34757834757834755,0.2857142857142857,0.3045339904156869,0.02759420880431687,553
8,0.11744208335876465,0.008054238317344007,0.019202423095703126,0.0024577165509408728,balanced,entropy,10,,0.2,0.01,50,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.01, 'rf__n_estimators': 50}",0.16580310880829016,0.15897435897435896,0.19195046439628483,0.21328671328671328,0.16666666666666666,0.17932562097763527,0.020343710484588252,595,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.28318584070796465,0.2719298245614035,0.3195876288659793,0.34757834757834755,0.2857142857142857,0.3015841079604229,0.02795786982775165,562
9,0.21351709365844726,0.0022234941669051675,0.03158869743347168,0.0022386990339164285,balanced,entropy,3,,0.2,0.2,100,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_depth': 3, 'rf__max_features': None, 'rf__min_samples_leaf': 0.2, 'rf__min_samples_split': 0.2, 'rf__n_estimators': 100}",0.16580310880829016,0.15897435897435896,0.18023255813953487,0.21328671328671328,0.16666666666666666,0.17698203972628526,0.019407765351351244,638,0.9696969696969697,0.9393939393939394,0.9538461538461539,0.9384615384615385,1.0,0.9602740557417511,0.022884712978796684,2,0.28318584070796465,0.2719298245614035,0.30317848410757947,0.34757834757834755,0.2857142857142857,0.2983022790087429,0.0265811049073921,606
