,mean_fit_time,mean_score_time,mean_test_f1,mean_test_precision,mean_test_recall,param_LR__class_weight,param_LR__penalty,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,param_tree__min_samples_split,params,rank_test_f1,rank_test_precision,rank_test_recall,split0_test_f1,split0_test_precision,split0_test_recall,split1_test_f1,split1_test_precision,split1_test_recall,split2_test_f1,split2_test_precision,split2_test_recall,split3_test_f1,split3_test_precision,split3_test_recall,split4_test_f1,split4_test_precision,split4_test_recall,std_fit_time,std_score_time,std_test_f1,std_test_precision,std_test_recall
0,0.06836538314819336,0.008596038818359375,0.6826228627838318,0.7528504245650245,0.6303812544328021,,l1,,,,,"{'LR__class_weight': None, 'LR__penalty': 'l1'}",1,1,3,0.625,0.625,0.625,0.6341463414634146,0.7647058823529411,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7142857142857143,0.8333333333333334,0.625,0.7317073170731708,0.8333333333333334,0.6521739130434783,0.006241262951346238,0.008316022533050537,0.04415030054294788,0.0792863777115747,0.053833249572505106
1,0.022034883499145508,0.005790519714355469,0.670902227519022,0.7357875019732991,0.6216904532498294,,l2,,,,,"{'LR__class_weight': None, 'LR__penalty': 'l2'}",2,2,4,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.619047619047619,0.7222222222222222,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.744186046511628,0.8421052631578947,0.6666666666666666,0.7,0.8235294117647058,0.6086956521739131,0.018559123427151634,0.003121970353509679,0.059981918973110115,0.09294998676409848,0.05930170979787788
2,0.0045970439910888675,0.0039981365203857425,0.7011283067180357,0.7105020270417316,0.706676469013877,,,gini,5,0.01,0.01,"{'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",1,1,1,0.6296296296296297,0.5666666666666667,0.7083333333333334,0.4615384615384615,0.6,0.375,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.8627450980392156,0.8148148148148148,0.9166666666666666,0.8444444444444444,0.8636363636363636,0.8260869565217391,0.0004895711648689461,0.0006324097568486608,0.14783317556052655,0.11595349597051532,0.1835825819902708
3,0.003597927093505859,0.0037977218627929686,0.7011283067180357,0.7105020270417316,0.706676469013877,,,gini,10,0.01,0.01,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",1,1,1,0.6296296296296297,0.5666666666666667,0.7083333333333334,0.4615384615384615,0.6,0.375,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.8627450980392156,0.8148148148148148,0.9166666666666666,0.8444444444444444,0.8636363636363636,0.8260869565217391,0.0004896484127876688,0.00039992333879854,0.14783317556052655,0.11595349597051532,0.1835825819902708
4,0.004597282409667969,0.0039978504180908205,0.6978115883125117,0.7046846082510904,0.706676469013877,,,entropy,10,0.01,0.01,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",3,3,1,0.6296296296296297,0.5666666666666667,0.7083333333333334,0.4615384615384615,0.6,0.375,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.8444444444444444,0.8636363636363636,0.8260869565217391,0.0004899598814474855,0.000894042604672483,0.14431424362478376,0.11120700736830841,0.1835825819902708
5,0.003997421264648438,0.004198026657104492,0.6817797134664682,0.704063776996753,0.6733585250311133,,,entropy,5,0.01,0.01,"{'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",4,4,4,0.6296296296296297,0.5666666666666667,0.7083333333333334,0.4615384615384615,0.6,0.375,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7659574468085107,0.782608695652174,0.75,0.8444444444444444,0.8636363636363636,0.8260869565217391,4.90933901833868e-07,0.00039961350489739006,0.13076264571787463,0.11076068612619881,0.1554110240559516
6,0.011791086196899414,0.004000616073608398,0.640375824713874,0.6981724163218922,0.6053927964457292,,,gini,3,0.01,0.01,"{'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",5,5,5,0.5490196078431373,0.5185185185185185,0.5833333333333334,0.5490196078431373,0.5185185185185185,0.5833333333333334,0.6153846153846154,0.8,0.5,0.7391304347826088,0.7727272727272727,0.7083333333333334,0.75,0.8823529411764706,0.6521739130434783,0.016096166638633027,5.3299218577646535e-06,0.08840718882195675,0.15127371325814903,0.07050081265947541
7,0.0045970439910888675,0.003998184204101562,0.640375824713874,0.6981724163218922,0.6053927964457292,,,entropy,10,0.01,0.05,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.05}",5,5,5,0.5490196078431373,0.5185185185185185,0.5833333333333334,0.5490196078431373,0.5185185185185185,0.5833333333333334,0.6153846153846154,0.8,0.5,0.7391304347826088,0.7727272727272727,0.7083333333333334,0.75,0.8823529411764706,0.6521739130434783,0.0007997037472917261,0.0006320328334796267,0.08840718882195675,0.15127371325814903,0.07050081265947541
8,0.004197359085083008,0.0037978172302246095,0.640375824713874,0.6981724163218922,0.6053927964457292,,,entropy,5,0.01,0.05,"{'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.05}",5,5,5,0.5490196078431373,0.5185185185185185,0.5833333333333334,0.5490196078431373,0.5185185185185185,0.5833333333333334,0.6153846153846154,0.8,0.5,0.7391304347826088,0.7727272727272727,0.7083333333333334,0.75,0.8823529411764706,0.6521739130434783,0.00039970964024367637,0.0007476400557749545,0.08840718882195675,0.15127371325814903,0.07050081265947541
9,0.003596639633178711,0.004003095626831055,0.640375824713874,0.6981724163218922,0.6053927964457292,,,gini,3,0.01,0.05,"{'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.05}",5,5,5,0.5490196078431373,0.5185185185185185,0.5833333333333334,0.5490196078431373,0.5185185185185185,0.5833333333333334,0.6153846153846154,0.8,0.5,0.7391304347826088,0.7727272727272727,0.7083333333333334,0.75,0.8823529411764706,0.6521739130434783,0.0004945835044101378,0.0006322922461770657,0.08840718882195675,0.15127371325814903,0.07050081265947541
