,mean_test_precision,mean_test_recall,mean_test_f1,rank_test_precision,rank_test_recall,rank_test_recall,rank_test_f1,params,benchmark_test_precision,benchmark_test_recall,benchmark_test_fbeta
2,0.5076047670877935,0.6356439703016367,0.5503833161460175,31,1,1,1,"{'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.5871559633027523,0.5378151260504201,0.5614035087719299
18,0.5076047670877935,0.6356439703016367,0.5503833161460175,31,1,1,1,"{'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.5871559633027523,0.5378151260504201,0.5614035087719299
34,0.5076047670877935,0.6356439703016367,0.5503833161460175,31,1,1,1,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.5871559633027523,0.5378151260504201,0.5614035087719299
65,0.6546128389563745,0.3752432716752871,0.4283356859087802,1,27,27,27,"{'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.05}",0.5871559633027523,0.5378151260504201,0.5614035087719299
81,0.6546128389563745,0.3752432716752871,0.4283356859087802,1,27,27,27,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.05}",0.5871559633027523,0.5378151260504201,0.5614035087719299
1,0.6345687190454335,0.3947311704688754,0.4648154724527086,1,3,3,3,"{'LR__class_weight': None, 'LR__penalty': 'l2'}",0.5871559633027523,0.5378151260504201,0.5614035087719299
3,0.3227947887452135,0.9298514407482587,0.47862454601691895,3,1,1,1,"{'LR__class_weight': 'balanced', 'LR__penalty': 'l2'}",0.5871559633027523,0.5378151260504201,0.5614035087719299
9,0.6879727847423122,0.31878724939477115,0.3719917603149523,1,14,14,16,"{'NN__activation': 'relu', 'NN__hidden_layer_sizes': (5, 2)}",0.5871559633027523,0.5378151260504201,0.5614035087719299
23,0.6100841651441333,0.531866937305703,0.5601529753215083,16,1,1,1,"{'NN__activation': 'tanh', 'NN__hidden_layer_sizes': (5, 4, 3)}",0.5871559633027523,0.5378151260504201,0.5614035087719299
