,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,0.0057944774627685545,0.0004044057147540108,0.004309511184692383,0.00040299213611672495,gini,3,0.01,0.1,"{'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.4224137931034483,0.40350877192982454,0.4835164835164835,0.5849056603773585,0.6440677966101694,0.5076047670877935,0.09302154390122419,31,0.7424242424242424,0.696969696969697,0.676923076923077,0.47692307692307695,0.5846153846153846,0.6356439703016367,0.09449962100531872,1,0.5384615384615385,0.5111111111111111,0.5641025641025641,0.5254237288135594,0.6129032258064516,0.5503833161460175,0.03578163508051584,1
1,0.007201766967773438,0.0007464680429765393,0.004994344711303711,0.0011030297635105661,gini,5,0.01,0.1,"{'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.4224137931034483,0.40350877192982454,0.4835164835164835,0.5849056603773585,0.6440677966101694,0.5076047670877935,0.09302154390122419,31,0.7424242424242424,0.696969696969697,0.676923076923077,0.47692307692307695,0.5846153846153846,0.6356439703016367,0.09449962100531872,1,0.5384615384615385,0.5111111111111111,0.5641025641025641,0.5254237288135594,0.6129032258064516,0.5503833161460175,0.03578163508051584,1
2,0.007990312576293946,0.0006295627818987773,0.004203128814697266,0.0003980596898131834,gini,10,0.01,0.1,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.4224137931034483,0.40350877192982454,0.4835164835164835,0.5849056603773585,0.6440677966101694,0.5076047670877935,0.09302154390122419,31,0.7424242424242424,0.696969696969697,0.676923076923077,0.47692307692307695,0.5846153846153846,0.6356439703016367,0.09449962100531872,1,0.5384615384615385,0.5111111111111111,0.5641025641025641,0.5254237288135594,0.6129032258064516,0.5503833161460175,0.03578163508051584,1
3,0.008001232147216797,5.659315852904278e-06,0.004596614837646484,0.000793654355400178,entropy,10,0.01,0.1,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.4224137931034483,0.40350877192982454,0.4835164835164835,0.0,0.6440677966101694,0.390736442275654,0.21279965971858344,34,0.7424242424242424,0.696969696969697,0.676923076923077,0.0,0.5846153846153846,0.540351336224046,0.2748574403931526,4,0.5384615384615385,0.5111111111111111,0.5641025641025641,0.0,0.6129032258064516,0.4453999057215532,0.22507836216608526,24
4,0.008397245407104492,0.0010127707901290515,0.005396795272827148,0.0010175251950670875,entropy,5,0.01,0.1,"{'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.4224137931034483,0.40350877192982454,0.4835164835164835,0.0,0.6440677966101694,0.390736442275654,0.21279965971858344,34,0.7424242424242424,0.696969696969697,0.676923076923077,0.0,0.5846153846153846,0.540351336224046,0.2748574403931526,4,0.5384615384615385,0.5111111111111111,0.5641025641025641,0.0,0.6129032258064516,0.4453999057215532,0.22507836216608526,24
5,0.006590557098388672,0.00047603108462070446,0.004992914199829101,0.0010903189315057816,entropy,3,0.01,0.1,"{'tree__criterion': 'entropy', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.1}",0.4224137931034483,0.40350877192982454,0.4835164835164835,0.0,0.6440677966101694,0.390736442275654,0.21279965971858344,34,0.7424242424242424,0.696969696969697,0.676923076923077,0.0,0.5846153846153846,0.540351336224046,0.2748574403931526,4,0.5384615384615385,0.5111111111111111,0.5641025641025641,0.0,0.6129032258064516,0.4453999057215532,0.22507836216608526,24
6,0.007393407821655274,0.0004913145614946415,0.005001735687255859,0.0008914970183476287,entropy,5,0.05,0.1,"{'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.1}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
7,0.0069905281066894535,0.0006361194383377961,0.004999303817749023,0.0010947262184605804,gini,5,0.05,0.1,"{'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.1}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
8,0.007596015930175781,0.0018527434240550391,0.005196905136108399,0.0014688218601768307,gini,5,0.05,0.05,"{'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.05}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
9,0.007196807861328125,0.001167347106777512,0.005196332931518555,0.000977628085080447,gini,5,0.05,0.01,"{'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.01}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
